Estacion;Mes;Frecuencia de días con Precipitación superior a 1.0 mm;Humedad (%);Nubosidad (octavos);Precipitación (mm);Temp Media (°C);Temp Máx (°C);Temp Mín (°C);Velocidad del Viento (km/h) (2011-2020)
CÓRDOBA AERO;Sep;3.2;55.0;3.3;32.6;15.2;23.0;8.1;14.9
CÓRDOBA AERO;Oct;5.4;60.5;3.8;71.5;18.3;25.4;11.6;14.8
CÓRDOBA AERO;Nov;8.1;60.9;3.7;115.9;20.9;28.0;14.2;15.2
CÓRDOBA AERO;Dic;8.6;63.3;3.7;146.5;22.9;29.7;16.6;14.4
CÓRDOBA OBSERVATORIO;Ene;8.8;65.1;3.5;121.6;24.7;31.2;18.9;8.5
CÓRDOBA OBSERVATORIO;Feb;8.4;70.5;3.7;126.6;23.2;29.4;17.8;7.7
CÓRDOBA OBSERVATORIO;Mar;7.6;71.9;3.6;99.9;21.8;28.1;16.5;7.6
CÓRDOBA OBSERVATORIO;Abr;5.6;72.0;3.9;61.2;18.4;25.0;13.3;6.9
CÓRDOBA OBSERVATORIO;May;3.3;73.6;4.1;20.7;14.7;21.3;9.9;6.0
CÓRDOBA OBSERVATORIO;Jun;1.0;71.1;3.6;6.7;11.6;19.0;6.4;5.9
CÓRDOBA OBSERVATORIO;Jul;1.3;65.8;3.2;6.7;10.8;18.4;5.5;6.5
CÓRDOBA OBSERVATORIO;Ago;1.0;55.7;2.8;8.0;13.5;21.5;7.4;7.6
CÓRDOBA OBSERVATORIO;Sep;3.1;55.8;3.2;33.7;16.2;23.8;10.0;8.5
CÓRDOBA OBSERVATORIO;Oct;5.9;59.4;3.6;76.9;19.4;26.3;13.4;8.9
CÓRDOBA OBSERVATORIO;Nov;8.3;59.6;3.5;109.7;22.1;29.1;15.8;9.3
CÓRDOBA OBSERVATORIO;Dic;9.6;61.3;3.5;143.9;24.2;31.0;18.1;9.0
DOLORES AERO;Ene;6.6;72.7;3.2;109.2;21.8;28.5;15.4;
DOLORES AERO;Feb;6.5;76.5;3.1;94.2;21.0;27.5;14.9;
DOLORES AERO;Mar;6.8;79.5;3.0;96.3;19.0;25.6;13.2;
DOLORES AERO;Abr;6.7;82.0;3.3;99.4;15.2;21.8;9.9;
DOLORES AERO;May;5.1;84.7;3.7;58.7;11.8;17.9;7.1;
DOLORES AERO;Jun;5.1;85.2;4.0;62.1;8.8;14.5;4.3;
DOLORES AERO;Jul;5.4;84.7;4.0;62.1;8.0;13.6;3.8;
DOLORES AERO;Ago;5.0;81.8;3.8;73.2;10.0;15.9;5.3;
DOLORES AERO;Sep;5.6;79.6;3.8;64.3;11.9;17.7;6.7;
DOLORES AERO;Oct;7.4;78.0;4.0;93.9;14.9;20.7;9.7;
